desgs,epoch,M,omega,Omega,inc,ecc,a,H,q,Q,min_dist_bound_AU,V_bright_bound
90,2023-02-25,31.84409,245.25176,69.93795,2.20695,0.1678071,3.1504172,8.49,2.62175482587788,3.6790795741221203,1.60500052587788,11.610336275613019
91,2023-02-25,137.73626,74.36371,10.43692,2.10312,0.107121,2.589873,8.93,2.3124432143669997,2.867302785633,1.2956889143669996,11.31285909910289
92,2023-02-25,64.01233,237.34146,101.40639,9.91993,0.1054342,3.1868453,6.82,2.85084281527074,3.5228477847292594,1.8340885152707398,10.411967820056038
93,2023-02-25,58.1679,275.3801,4.02575,8.55772,0.1393134,2.7566218,7.96,2.37258744452788,3.14065615547212,1.35583314452788,10.497142371225504
94,2023-02-25,195.02325,60.20138,2.55099,7.97088,0.0952651,3.1560388,7.72,2.85537844811412,3.4566991518858803,1.83862414811412,11.3207831848544
95,2023-02-25,332.02316,153.34142,242.96922,12.99646,0.1536696,3.0668674,8.04,2.59558311338896,3.53815168661104,1.5788288133889599,11.10284991811612
96,2023-02-25,4.00056,208.09411,321.49289,15.97982,0.1416156,3.0506065,7.71,2.6185930301386002,3.4826199698614,1.6018387301386001,10.823433988272594
97,2023-02-25,267.76976,268.54203,159.62005,11.77963,0.2579554,2.6673228,7.85,1.9792724801968802,3.35537311980312,0.9625181801968801,9.249572637772792
98,2023-02-25,79.24122,158.40106,353.89679,15.57612,0.1874646,2.6872377,8.93,2.1834757594645797,3.19099964053542,1.1667214594645796,10.960577803658616
99,2023-02-25,201.6743,195.56999,41.40733,13.8648,0.1972055,2.6626303,9.51,2.13754496037335,3.1877156396266497,1.1207906603733497,11.407198807905981
100,2023-02-25,141.44489,183.7811,127.17145,6.43293,0.1687213,3.0873475,7.68,2.56644621624825,3.6082487837517503,1.5496919162482499,10.677887675018436
101,2023-02-25,86.00708,347.94344,343.37109,10.19496,0.1411431,2.5825225,8.25,2.21801726853025,2.9470277314697504,1.20126296853025,10.378015061458264
102,2023-02-25,208.59538,147.23419,210.76582,5.17384,0.2510028,2.663313,9.38,1.9948139797236002,3.3318120202764,0.9780596797236001,10.831338793482297
103,2023-02-25,304.83541,189.34286,136.06897,5.41858,0.0791696,2.7017614,7.7,2.48786403066656,2.91565876933344,1.47110973066656,10.51735854644664
104,2023-02-25,165.71408,31.65418,41.65969,2.78989,0.1617855,3.145733,8.48,2.6367990137285,3.6546669862714998,1.6200447137285,11.633020144706533
105,2023-02-25,183.61403,57.11832,188.22256,21.456,0.1787045,2.3724931,8.73,1.9485179068110496,2.79646829318895,0.9317636068110495,10.025050724485332
106,2023-02-25,106.62358,331.50302,61.99147,4.57571,0.1593828,3.1812391,7.63,2.67420430477252,3.68827389522748,1.65745000477252,10.863175104058907
107,2023-02-25,179.47769,305.33916,172.58672,10.00443,0.0652401,3.4862507,7.14,3.2588073557069297,3.71369404429307,2.2420530557069296,11.458522866994151
108,2023-02-25,204.71157,211.86772,349.81138,4.21114,0.0615451,3.2370917,8.01,3.03786456761433,3.43631883238567,2.02111026761433,11.950792084290082
109,2023-02-25,203.77024,57.58517,2.75912,7.8456,0.3000189,2.6939241,9.03,1.88569595483451,3.50215224516549,0.8689416548345099,10.102311430571483
110,2023-02-25,153.43087,282.18454,56.77405,5.95981,0.0799238,2.7324898,7.88,2.51409883172276,2.95088076827724,1.49734453172276,10.75852043565394
111,2023-02-25,34.92417,168.22327,305.68651,4.93142,0.1028182,2.5935709,8.23,2.32690460848962,2.86023719151038,1.3101503084896198,10.650498515915924
112,2023-02-25,72.68926,16.99889,323.37083,2.59757,0.1285591,2.4331883,9.82,2.12037980202147,2.74599679797853,1.1036255020214698,11.66617693010676
113,2023-02-25,152.34969,79.09939,123.42938,5.04118,0.0857639,2.3773984,8.61,2.1735034413622403,2.58129335863776,1.1567491413622402,10.611997589791912
114,2023-02-25,16.56928,352.65708,164.06663,4.94465,0.1382847,2.6766686,8.37,2.30652628564958,3.0468109143504205,1.2897719856495797,10.737356739701593
115,2023-02-25,33.05068,96.80092,308.77472,11.5879,0.1926851,2.3793744,7.7,1.92090440579856,2.8378443942014404,0.9041501057985599,8.898731450495802
116,2023-02-25,162.41205,94.23504,63.69757,3.56398,0.1411523,2.7661914,7.87,2.37573712164978,3.1566456783502197,1.35898282164978,10.415061753774246
117,2023-02-25,55.52354,51.57085,348.63348,14.92724,0.0234983,2.9894667,8.09,2.91921931464339,3.05971408535661,1.90246501464339,11.812917014417042
118,2023-02-25,313.42986,32.90862,47.63899,7.74724,0.1640495,2.438248,8.98,2.0382546347240003,2.838241365276,1.0215003347240001,10.572484759017636
119,2023-02-25,323.67934,171.41157,203.63344,5.78753,0.0816006,2.5810942,8.44,2.3704753646234797,2.79171303537652,1.3537210646234796,10.971823165271397
120,2023-02-25,123.22575,235.35333,341.17069,6.96087,0.0510564,3.1200583,7.79,2.9607593554118803,3.27935724458812,1.9440050554118802,11.590502501094484
121,2023-02-25,74.63727,296.85002,72.87874,7.56728,0.125807,3.4529548,7.46,3.0185489154764,3.8873606845236,2.0017946154764,11.36608867351093
122,2023-02-25,213.31601,320.55285,178.08893,1.64218,0.0291124,3.2279105,7.75,3.1339382783598,3.3218827216402,2.1171839783598,11.859245189012011
123,2023-02-25,272.37655,125.25179,307.71869,6.41336,0.1209859,2.69451,8.92,2.3685122825910003,3.020507717409,1.3517579825910002,11.44687292069391
124,2023-02-25,177.52911,62.04503,187.91156,2.96378,0.0779502,2.6291124,8.14,2.42417256259752,2.83405223740248,1.40741826259752,10.804933567902149
